Datasets,ela_distr.skewnessmedian,ela_distr.kurtosismedian,ela_distr.number_of_peaksmedian,ela_distr.costs_fun_evalsmedian,ela_distr.costs_runtimemedian,ela_meta.lin_simple.adj_r2median,ela_meta.lin_simple.interceptmedian,ela_meta.lin_simple.coef.minmedian,ela_meta.lin_simple.coef.maxmedian,ela_meta.lin_simple.coef.max_by_minmedian,ela_meta.lin_w_interact.adj_r2median,ela_meta.quad_simple.adj_r2median,ela_meta.quad_simple.condmedian,ela_meta.quad_w_interact.adj_r2median,ela_meta.costs_fun_evalsmedian,ela_meta.costs_runtimemedian,nbc.nn_nb.sd_ratiomedian,nbc.nn_nb.mean_ratiomedian,nbc.nn_nb.cormedian,nbc.dist_ratio.coeff_varmedian,nbc.nb_fitness.cormedian,nbc.costs_fun_evalsmedian,nbc.costs_runtimemedian,ic.h.maxmedian,ic.eps.smedian,ic.eps.maxmedian,ic.eps.ratiomedian,ic.m0median,ic.costs_fun_evalsmedian,ic.costs_runtimemedian,no_decisionsmedian,IDem_Decision,IDem_Objective
NRP_50_5_5_5_120-p1000-d50-o1-dataset,-0.335,-0.102,1.0,0.0,0.002,9.2,6057.621,0.374,84.407,199.615,1.0,1.0,NA,1.0,0.0,0.651,0.54,0.943,0.543,0.067,-0.575,0.0,0.029,0.896,2.027,15.0,1.436,0.658,0.0,0.21,50.0,14.702,0.304
NRP_50_5_5_5_90-p1000-d50-o1-dataset,-0.27,0.054,1.0,0.0,0.002,7.499,3239.238,0.766,57.137,68.803,1.0,1.0,NA,1.0,0.0,0.639,0.555,0.954,0.503,0.06,-0.62,0.0,0.018,0.885,1.787,15.0,1.256,0.673,0.0,0.19,50.0,14.017,0.294
POM3A-p10000-d9-o3-dataset,0.296,-0.8,2.0,0.0,0.002,0.726,0.051,0.0,0.433,3971.996,-0.013,0.788,201754.35,1.0,0.0,0.014,0.422,0.699,0.356,0.318,-0.557,0.0,0.014,0.88,-0.916,15.0,-1.747,0.643,0.0,0.166,9.0,1.322,0.987
POM3B-p10000-d9-o3-dataset,0.183,-0.563,2.5,0.0,0.002,0.622,-0.085,0.0,0.376,4290.377,-0.413,0.7,461529.6,1.0,0.0,0.013,0.411,0.721,0.309,0.306,-0.563,0.0,0.012,0.874,-0.956,15.0,-1.617,0.653,0.0,0.168,9.0,1.191,0.949
POM3C-p10000-d9-o3-dataset,0.076,-0.174,2.0,0.0,0.001,0.206,0.237,0.0,0.42,1906.953,-2.172,0.306,52047.495,1.0,0.0,0.014,0.367,0.735,0.292,0.279,-0.623,0.0,0.012,0.869,-0.756,15.0,-1.426,0.633,0.0,0.191,9.0,1.248,0.954
POM3D-p10000-d9-o3-dataset,0.741,-0.248,3.0,0.0,0.002,0.492,-0.015,0.001,0.62,596.58,-0.95,0.463,78874.705,1.0,0.0,0.013,0.54,0.784,0.44,0.246,-0.527,0.0,0.013,0.875,-0.536,15.0,-1.146,0.633,0.0,0.173,9.0,1.792,0.62
xomo_all-p10000-d27-o3-dataset,1.667,2.542,3.0,0.0,0.002,-0.242,11565.407,1.826,6247.806,3855.676,1.0,2.761,10834426.0,1.0,0.0,0.075,0.067,0.493,0.036,0.36,-0.514,0.0,0.013,0.864,3.218,15.0,2.367,0.679,0.0,0.209,27.0,0.63,0.405
xomo_flight-p10000-d27-o3-dataset,1.693,4.28,3.0,0.0,0.002,-0.217,1416117.5,0.606,1164950106.0,1584867625.0,1.0,4.229,NA,1.0,0.0,0.081,0.084,0.334,0.026,0.469,-0.516,0.0,0.013,0.858,3.208,15.0,2.197,0.668,0.0,0.21,27.0,0.635,0.362
xomo_ground-p10000-d27-o4-dataset,1.699,3.278,3.0,0.0,0.002,-0.221,574721.95,2.077,677902998.5,323527132.0,1.0,3.33,NA,1.0,0.0,0.082,0.07,0.498,0.082,0.344,-0.493,0.0,0.013,0.853,3.308,15.0,2.377,0.668,0.0,0.191,27.0,0.638,0.388
xomo_osp-p10000-d27-o4-dataset,1.633,2.67,3.0,0.0,0.002,-0.212,18008655.0,10.739,1544378953.5,129036008.0,1.0,-23.715,NA,1.0,0.0,0.091,0.288,0.785,0.209,0.227,-0.496,0.0,0.014,0.861,3.529,15.0,2.678,0.663,0.0,0.205,27.0,1.123,0.579
xomoo2-p10000-d27-o3-dataset,1.826,3.23,4.0,0.0,0.002,-0.189,348393562.0,NA,NA,NA,1.0,-3.112,NA,1.0,0.0,0.088,0.265,0.736,0.214,0.263,-0.488,0.0,0.013,0.858,3.579,15.0,2.728,0.663,0.0,0.178,27.0,0.96,0.357
