$x1,$x2,$x3,$x4,$x5,$x6,$x7,$x8,$x9,$x10,$x11,$x12,$x13,$x14,$x15,$x16,$x17,$x18,$x19,$x20,$x21,$x22,$x23,$x24,$x25,$x26,$x27,$x28,$x29,$x30,$x31,$x32,$x33,$x34,$x35,$x36,$x37,$x38,$x39,$x40,$x41,$x42,$x43,$x44,$x45,$x46,$x47,$x48,$x49,$x50,$x51,$x52,$x53,$x54,$x55,$x56,$x57,$x58,$x59,$x60,$x61,$x62,$x63,$x64,$x65,$x66,$x67,$x68,$x69,$x70,>>f1,>>f2,>>f3
1, -1, 0, 2, 0, 0, 1, 0, -1, 1, 1, 0, 0, 2, 2, 2, 2, 3, -1, 2, 1, 0, 3, 3, 3, -1, 2, -1, 2, 3, 2, 0, 0, -1, 0, 2, -1, 1, 3, -1, 2, -1, 1, 1, -1, -1, 3, 0, 0, 3, 1, 0, 2, 3, -1, 2, 1, 1, 3, 0, -1, 3, 3, 3, 3, 2, -1, 1, 2, 0, 3654, 1049, 642
-1, 2, 0, -1, 3, 1, 3, 1, 2, 1, 1, 3, 1, 0, -1, 0, 2, 1, 0, -1, -1, 2, 3, 0, 1, 0, 2, 0, -1, -1, 1, 0, 1, 2, 2, 2, 1, 2, 0, 3, 0, 2, 3, 3, 1, 3, 0, -1, 1, 0, 3, 1, 0, 3, 1, 2, 2, 3, 2, 0, 3, -1, 1, 2, 3, -1, 0, -1, 3, 3, 4069, 1049, 642
2, 3, 3, 3, -1, 2, -1, 0, 0, 0, -1, 0, 2, 0, 2, 3, 2, 3, 0, 1, 1, 0, 1, 1, 1, -1, 2, -1, 2, 0, 2, 1, 0, 3, 2, -1, -1, 1, 1, -1, 3, 0, 1, 0, 0, -1, 0, -1, 0, 2, 3, 1, 2, 3, -1, 1, 3, 2, 3, 1, 1, 2, 0, -1, 2, 1, 2, 1, 3, 3, 4161, 1049, 642
0, 3, -1, -1, 1, -1, 2, 3, 0, 1, 1, 0, 0, 0, 2, 1, -1, -1, 2, 0, -1, 1, -1, 0, 1, 3, 3, 2, 2, 1, -1, -1, 2, 1, 1, 1, 2, 2, -1, 3, 2, 3, -1, -1, 0, 2, 0, -1, -1, 2, -1, 0, -1, 0, 3, 3, 2, 2, 3, 0, 3, 0, 1, 1, 2, 1, 2, 0, 1, 2, 3887, 1049, 642
-1, -1, 2, 2, 2, 0, -1, 3, 3, 0, 1, 3, 0, 1, 1, 3, -1, 0, 0, 0, 0, 1, -1, 0, 2, 0, -1, 2, 0, 3, 1, 0, 2, -1, 1, 2, 1, 0, 0, -1, 1, -1, 1, 3, 1, -1, -1, 1, 2, 1, 3, 2, 1, 2, 2, 2, 3, 0, 3, 2, 1, 0, 0, 2, -1, 2, -1, 3, 1, 2, 4162, 1049, 642
0, 1, 2, 2, 0, 1, 1, 0, -1, 2, 0, -1, 1, 3, -1, -1, 3, -1, 1, 1, -1, -1, 1, 0, 0, 2, -1, 2, 1, -1, -1, 0, -1, 2, 2, 0, 2, 3, 0, 2, 3, 1, -1, 3, 2, -1, 2, 2, 0, 2, 1, 0, 3, 2, -1, 1, 1, 0, 3, 1, 2, 3, 1, 3, 3, 1, 0, 2, 0, 0, 4110, 1049, 642
3, 1, 0, 2, 1, -1, -1, 3, 3, -1, 3, 2, 3, 1, 2, 1, -1, 2, -1, -1, 2, 3, 1, 0, 3, 1, -1, 3, 0, 2, 0, -1, 3, 0, 0, 1, 2, 0, 1, -1, -1, 1, 0, 0, 0, 0, -1, -1, 0, 2, -1, -1, 1, 2, 0, 3, 2, -1, 3, 1, 1, 2, -1, 1, 0, 0, 3, 0, 2, -1, 3915, 1049, 642
0, 2, -1, 0, 0, 3, 0, 3, 2, 3, 1, 1, 1, 3, 0, 2, 2, -1, 3, 1, -1, 1, 1, -1, -1, -1, 0, -1, -1, 1, 1, 3, 2, -1, -1, -1, 2, 3, 0, 0, 2, 2, 0, 2, 0, 2, 0, -1, 3, 1, 0, 0, 3, 1, 1, 3, 2, 0, 0, 1, 2, -1, 3, 1, 1, 3, 3, 1, 2, 2, 4072, 1049, 642
3, 0, -1, 2, 2, 1, 2, 0, -1, 0, 0, 0, 0, 2, -1, 0, 3, 0, 2, 2, 2, 1, 1, 1, 1, 1, 3, 1, 2, 1, -1, 3, 1, 2, 2, 1, -1, -1, -1, 1, 2, 0, -1, 3, 3, -1, 3, 3, 0, 1, 0, -1, -1, 0, 1, -1, 2, 2, 3, 1, -1, 0, 2, -1, 1, 0, -1, 3, 1, 0, 3915, 1049, 642
2, 0, 0, 2, 0, 3, 1, 2, 0, 3, 0, 1, -1, 1, 3, -1, 3, 3, -1, 3, 2, 3, 2, 3, 1, 2, 2, 0, 3, 3, 1, -1, 1, 1, 2, 1, -1, 2, 3, 1, 0, 1, 1, -1, -1, 0, 0, 3, 1, 2, 1, 3, -1, 0, 3, 3, 1, 2, 0, 2, 0, -1, 0, 2, -1, 3, 0, -1, 2, 1, 4179, 1049, 642
-1, 3, 1, 2, 1, 2, 2, -1, 3, 1, 3, 3, 3, 0, 2, 2, 1, -1, 0, -1, 0, 0, 1, 1, 0, -1, -1, -1, 1, -1, -1, 3, 3, 3, 3, 1, 0, 3, -1, 3, 1, -1, 3, -1, 1, 1, 0, 0, 1, 0, 1, 2, 2, 0, 3, 2, 3, 2, 0, -1, 0, 2, 3, -1, 1, 2, 1, 2, 2, 2, 4101, 1049, 642
-1, 0, 2, 1, 3, -1, 2, 1, 0, 2, 0, -1, 2, 2, 2, -1, 3, 0, 0, 0, 0, 1, 0, 0, 1, 3, -1, 1, 1, 1, 3, -1, 1, 0, -1, -1, 3, -1, -1, 2, 0, 1, 3, 2, 3, -1, 2, 2, 3, 0, -1, 2, 0, 0, 1, -1, 3, 2, 1, 0, 3, 3, 1, 2, 2, 3, 1, 3, 0, -1, 4281, 1049, 642
-1, 0, 0, 2, 3, 1, 1, -1, 3, 3, 2, 2, 2, -1, 2, -1, 3, 0, 1, 2, 2, 2, -1, -1, 0, 1, 3, -1, 3, 1, -1, -1, 0, 2, 1, 1, 1, -1, 1, 2, 3, -1, 3, 0, 2, 0, 2, 2, 3, 1, 0, 1, 3, -1, 3, 1, 0, 0, 3, 0, 3, 0, -1, 2, -1, 0, 2, 1, 0, -1, 3907, 1049, 642
-1, 0, 0, 3, 1, 0, 2, 1, 3, 2, 0, 1, -1, 0, 0, 2, -1, 0, 1, 0, 2, 2, 2, 2, 0, 1, 2, 1, 1, 0, 3, 0, -1, 1, 2, -1, 1, 3, 1, 2, -1, 3, -1, 1, 3, 3, 0, 1, -1, 1, 3, 2, 0, 2, 2, 2, 1, -1, 3, -1, 2, 1, -1, 3, 1, -1, 0, -1, -1, 3, 4005, 1049, 642
1, 3, -1, 3, 2, 2, 1, 2, 0, 2, 3, 0, 0, 3, -1, 2, 3, 0, 1, 2, 2, 1, 1, 0, 0, -1, 1, -1, 2, 3, 3, 1, 3, 1, -1, 0, 0, 2, 1, -1, -1, 3, 3, -1, 3, 0, 2, 3, 3, 0, 2, 0, 1, 2, 1, -1, 3, 1, 0, -1, 0, 2, 0, -1, 0, -1, 1, 1, 2, 2, 4247, 1049, 642
3, 1, -1, 0, 1, 3, 1, -1, 2, 0, 2, 0, 3, 3, 2, -1, 2, 0, -1, 2, 2, 3, -1, 3, 3, 3, -1, -1, 2, -1, -1, 1, 2, 2, 0, 3, 2, 1, 2, 2, -1, 1, 0, -1, 0, 1, -1, 0, 0, 0, 0, 0, -1, 3, 1, 1, 2, 0, 1, 0, 0, 1, -1, 1, 2, 1, 2, -1, 0, -1, 4220, 1049, 642
2, 2, 1, 0, 0, -1, 0, 0, 1, 0, 1, -1, 0, 3, 1, 3, 3, 2, -1, 1, -1, 1, 0, 2, 0, 3, 2, 0, 1, 0, 1, -1, -1, 2, -1, 3, 1, 1, 3, 0, -1, -1, -1, 1, -1, 2, 2, 0, 3, 0, 1, 2, -1, 3, 3, 2, 2, 0, 2, -1, -1, 2, 0, 1, 2, 0, -1, 2, -1, 1, 4148, 1049, 642
0, -1, 3, -1, 1, 0, 1, 0, 2, 1, 2, -1, 3, -1, 2, 2, 3, -1, 0, -1, 3, 1, 1, -1, 0, 3, 2, -1, -1, -1, 3, 1, 2, -1, -1, 1, -1, -1, 0, 0, 2, 0, 1, 2, 1, 1, 0, 3, 0, 1, 3, 2, -1, 3, 1, 2, -1, 0, 2, -1, 0, 2, -1, 0, 1, 0, 1, 1, -1, -1, 3671, 1049, 642
1, 3, 1, 1, 3, 2, 0, 0, 2, 1, 0, 3, 2, 3, 3, -1, 0, 1, -1, 3, 2, 3, 2, 2, 2, -1, 1, -1, 3, 0, 1, 0, -1, 0, 1, 3, 3, 0, 1, -1, 2, 2, 0, -1, 3, 1, -1, 3, -1, -1, 0, -1, 1, -1, 0, 2, 0, 0, -1, 1, 1, 0, 1, 3, 2, 1, 2, 2, 2, 2, 4214, 1049, 642
0, 2, 1, 2, 3, 2, 0, 0, -1, 1, -1, -1, -1, 1, 2, 2, -1, 3, 0, 2, 2, -1, -1, -1, 1, 2, 0, -1, 0, 1, 2, 1, -1, 1, 1, 1, -1, 0, 0, 0, 3, 1, -1, 2, -1, 1, 0, 2, 1, 3, 2, 3, 3, 0, -1, 2, 0, 3, 3, 3, -1, 2, 3, 1, 1, 0, -1, -1, 0, 1, 3914, 1049, 642
2, -1, 3, -1, 1, 1, 0, 1, -1, 2, 3, 2, 1, 2, 3, 0, 0, 1, 0, -1, 0, 3, -1, 2, 3, 2, -1, 0, 0, 1, 2, 0, 3, 3, 1, 1, 0, -1, 2, 3, 0, 2, 1, 2, 0, 2, 1, -1, 0, 0, -1, -1, 1, 3, 1, 0, 2, 1, 1, 2, -1, 2, -1, 3, -1, 0, 1, 2, 2, 3, 4191, 1049, 642
1, 0, -1, 0, 0, -1, 0, 2, 2, 2, 0, 2, 3, 1, 3, 3, 3, 0, 1, -1, 2, -1, -1, 3, 2, 1, 1, -1, 3, 3, -1, 2, 1, -1, 0, 1, 2, 3, 3, -1, 3, 1, 0, 0, 2, 0, 3, -1, 1, 3, 1, -1, 1, 1, 1, 2, -1, 2, 2, 2, 2, 0, 0, 0, 0, 1, 3, 1, 2, 3, 4217, 1049, 642
1, 3, 2, 2, 0, -1, -1, 1, 2, 0, 2, 0, 2, -1, 2, 1, 2, 1, -1, 1, 1, 2, 3, 3, -1, 2, -1, 1, 1, 3, 0, 0, 0, 0, -1, 1, 3, 0, -1, 0, -1, 3, 2, 2, 2, 0, 0, 3, 2, 3, 3, 1, -1, 1, 1, 0, -1, 1, 0, 2, 0, 2, 3, 1, 0, 1, 0, 3, 1, 3, 4483, 1049, 642
2, 2, 2, 3, -1, 2, -1, -1, 2, 3, 1, 3, 1, 1, -1, 3, 0, 2, 0, 3, 0, 3, -1, -1, 1, 0, 3, -1, -1, 0, 2, -1, 2, 2, 1, -1, 1, 3, 0, 1, 2, -1, 3, 2, 0, 3, -1, 0, -1, 2, 0, 3, -1, 2, 0, 0, 1, 2, 1, 1, -1, 3, 0, 3, 2, 2, 0, 0, 0, 3, 4060, 1049, 642
0, 1, 1, 2, 0, 1, 3, -1, 1, 2, -1, 0, 3, 3, 2, 2, -1, -1, -1, -1, 1, -1, 0, 1, 2, -1, 0, 0, 0, 1, 1, 1, 0, 1, 2, 3, -1, -1, 0, 2, -1, 1, 0, 1, 3, 2, 3, 2, 3, 1, 2, 0, -1, 2, 3, 1, 3, 0, -1, 2, -1, -1, 0, -1, 0, 0, -1, -1, 0, 1, 3738, 1049, 642
1, 2, 1, -1, -1, 1, 0, -1, 1, -1, -1, -1, 2, -1, 2, 3, 0, 1, 3, 1, 3, 0, 2, 0, 3, -1, 2, 2, 1, 1, 1, 2, 2, 3, 1, 3, -1, 0, 3, -1, 3, 0, 1, 1, -1, 0, 2, 2, -1, 0, 0, 2, -1, 1, 0, 2, 0, 2, 1, 3, 3, -1, 0, 0, 0, 2, 3, 0, 1, -1, 4140, 1049, 642
1, 3, 1, -1, -1, -1, 0, 3, -1, 3, 0, 2, 1, 2, 0, 0, 1, 3, 3, 1, 1, 1, -1, 0, 2, 2, 0, -1, 2, 0, 1, 2, 3, 1, 0, 2, 2, -1, 1, 2, 0, 2, 2, -1, 0, -1, 2, 0, -1, 1, -1, 3, 3, 0, 0, 2, 1, -1, 0, 1, -1, 0, 1, 3, 2, -1, 2, 3, -1, 3, 3944, 1049, 642
2, -1, 2, 0, 0, 3, 0, -1, 3, 0, 1, 2, 2, -1, 0, 1, -1, 2, 3, 0, 2, 2, 3, 3, -1, 3, 1, 3, 3, 0, -1, 2, -1, 1, 3, 3, 1, -1, -1, 2, 0, 0, 2, 1, 2, 0, -1, 2, -1, -1, 1, -1, 1, 3, 0, 3, 2, 0, -1, 0, 0, 1, 0, -1, 0, 1, 2, 1, 1, 1, 4113, 1049, 642
1, -1, 1, 2, 0, 1, 1, 0, 1, 2, -1, -1, 0, 3, -1, 2, 3, -1, 2, 0, 1, 2, -1, -1, 0, 3, 2, 1, 1, 2, 1, 3, 0, 0, -1, 1, 3, 0, 1, 1, 3, 3, 2, 3, 1, 0, 2, 0, 3, 2, 3, 3, -1, 0, 1, 3, 2, -1, 3, 0, 2, 3, 2, 2, 1, 1, -1, -1, 2, 2, 4019, 1049, 642
3, 3, 2, 1, -1, -1, 1, 1, 1, 0, 0, 0, 1, 1, -1, 0, 3, 3, -1, 0, 2, 3, 0, -1, 1, 3, -1, 0, 0, -1, 0, -1, 3, 3, 2, -1, 0, 3, 3, 3, 1, 3, 1, 3, -1, -1, 0, 2, 1, 0, 0, 2, 1, -1, 0, 1, 2, 2, -1, 2, 2, 3, 1, -1, 1, 0, 0, 1, 1, 2, 4059, 1049, 642
-1, 1, 1, 2, 2, -1, 3, 3, 0, 2, -1, 2, 0, 3, 1, 2, 0, 0, -1, 0, 1, 0, 2, 3, 1, 1, -1, 2, 1, 2, 1, 3, 1, 1, 2, 0, 2, -1, 0, 3, 3, 3, 0, 0, 3, 1, -1, 2, 3, 0, -1, 2, 1, 3, 1, 0, 3, 2, 2, 3, 2, 3, 3, 0, 1, -1, -1, 1, 1, 0, 4224, 1049, 642
-1, -1, 2, 1, 3, 0, 1, 1, 1, 0, -1, -1, 1, 3, 2, 2, 2, 3, 3, 2, 0, 3, 2, 0, 3, -1, 0, 0, 2, 1, 3, -1, -1, 3, 2, 2, 1, 0, 0, 3, 2, 1, 0, 1, 3, 1, 2, -1, 2, 1, 0, 0, 3, 2, 1, 3, 1, 3, -1, 1, 2, 0, 1, -1, 2, 2, 0, -1, -1, 3, 3927, 1049, 642
3, 1, -1, 0, -1, 0, 3, 3, -1, 2, 1, 0, 1, -1, 1, 2, 2, -1, 3, 3, 3, 3, 0, 2, 1, 1, 3, 0, 3, 1, 0, -1, 0, 1, 1, 2, 1, 3, 0, 2, 3, -1, 1, 2, 2, 0, 1, 0, 3, 1, 1, 0, 2, 2, 2, -1, 0, 3, 2, 3, 2, 1, 3, -1, 1, 0, -1, 0, 3, 0, 4040, 1049, 642
2, 3, 2, 3, -1, -1, 3, 3, 3, 2, 1, 2, -1, 1, 3, 3, 0, -1, -1, 1, -1, -1, 3, 1, 1, 3, -1, 0, -1, -1, 3, 2, 0, 0, 0, 2, 3, 0, -1, 0, 1, 2, 1, 0, 3, 0, 3, 2, 2, 2, 1, -1, 3, 1, 1, 2, 1, 1, 0, 2, 0, 2, 2, 1, 3, 3, 0, 1, 0, 0, 4332, 1049, 642
0, 2, 1, 0, 0, 1, 1, 0, 3, 1, -1, 3, 2, 2, 0, 2, -1, 2, -1, 2, 0, 0, -1, 3, 0, -1, -1, 1, -1, -1, 1, -1, 2, 2, 3, -1, 3, 2, 0, 1, 0, 3, 0, -1, 0, -1, 1, -1, -1, 1, 1, 1, 3, 1, -1, 1, 0, 3, 2, 0, 0, 1, -1, 2, 0, -1, 1, 2, 1, 3, 3947, 1049, 642
2, 3, 2, 2, -1, 2, 3, 2, -1, -1, 2, -1, 2, 1, 2, 1, 3, 3, 1, 0, 1, 3, 0, -1, 1, 1, 1, 2, 1, 0, 2, -1, 0, 0, 0, 0, 0, 0, -1, 3, 1, 0, 3, 0, 2, 1, 1, -1, 2, 1, 2, -1, 1, 3, 2, 1, 0, -1, 3, 3, 2, 0, 1, -1, 3, 1, -1, 0, -1, -1, 3993, 1049, 642
2, 1, 1, -1, -1, -1, 1, 2, 0, 0, 1, 3, -1, 1, 1, -1, 3, 0, 3, 0, 1, 2, 3, -1, 2, 0, 0, 2, -1, 1, 1, 1, 2, 2, 1, -1, 2, 3, 2, -1, 0, 3, 0, -1, 1, 1, -1, 3, 0, 0, 0, 2, 3, 0, 2, 1, 0, 3, 3, 3, -1, 0, -1, 0, 1, 1, 2, 2, 2, 2, 4182, 1049, 642
3, 2, 2, 2, 0, 1, -1, 2, -1, 0, 3, 3, 0, 1, 2, 2, -1, 0, 0, 3, -1, -1, 1, -1, 3, 2, 3, 0, 1, 0, 3, 1, 2, -1, 2, 1, 3, 1, 0, -1, -1, 2, 2, 2, -1, 0, 3, 0, 0, 3, 1, 3, 0, -1, 1, 0, -1, 1, 2, 0, 1, 3, -1, 2, 2, 1, 0, 0, 1, 1, 4252, 1049, 642
1, -1, 0, 1, -1, -1, 2, 3, 3, 1, 2, -1, 1, 3, 2, 2, 0, 2, 3, 3, 2, 1, 1, 1, 0, -1, 3, 0, 1, 2, 1, -1, 3, 1, 3, 3, -1, 0, 2, 0, 0, 2, 1, 1, 0, 3, 1, 3, 2, 0, 2, -1, 3, 1, -1, 2, 1, 2, 0, 2, 0, -1, 3, 0, 1, -1, 0, 3, 0, 1, 4487, 1049, 642
2, 0, 2, 3, 3, -1, 1, 0, 3, 3, 2, 3, 1, 0, 0, 2, 2, 0, 2, 1, 1, -1, 0, 2, 1, 0, -1, 3, 0, 1, 3, 2, 1, 2, -1, -1, 3, 1, 2, 2, 0, 1, 0, 0, 1, 3, 0, 1, 3, -1, 3, 2, 1, 3, 0, 3, -1, -1, 2, 3, 2, -1, 1, 3, 0, 2, 1, 3, 0, 0, 4445, 1049, 642
3, 0, 0, 2, 2, 2, 0, 3, 3, 1, 2, 2, -1, 2, 3, -1, 2, -1, 1, -1, -1, 2, 3, 3, 0, 0, 3, 1, 1, -1, 1, 2, -1, 1, 1, 0, 3, 2, -1, 3, -1, 1, 1, 2, 0, 1, -1, 1, 3, 2, 3, 0, 0, 1, 0, -1, 1, 0, 2, 0, 1, -1, 2, 0, 3, 3, 3, 2, 0, 0, 4357, 1049, 642
2, -1, 0, 1, 2, 0, 0, 0, -1, 2, 1, 0, 0, -1, 3, 0, -1, 3, 0, 1, 1, 3, 1, -1, 0, 3, 3, 2, 3, -1, 3, 0, 2, 2, 3, 2, 1, 2, 0, -1, 0, 1, 0, -1, -1, 3, 2, -1, 1, 2, 2, -1, 2, 2, 2, 3, 1, -1, 0, 3, 2, -1, 1, 2, -1, 1, 3, 1, 3, 0, 3875, 1049, 642
-1, 2, 1, 2, 3, 0, 2, 2, 0, 0, 1, 3, 2, 0, 3, 1, 2, 2, 1, -1, 3, -1, 2, 0, 2, 2, 1, 3, 2, 0, 0, 3, 1, 1, -1, 3, 3, 0, -1, 2, -1, 3, 1, -1, 0, -1, 0, 3, -1, 1, 0, 1, 1, 2, 0, 2, 3, -1, 0, 1, 1, -1, 1, 0, 3, 2, 3, -1, 2, 0, 4152, 1049, 642
3, -1, 3, 1, -1, 2, 0, 3, -1, 1, -1, -1, 3, 0, 3, -1, 1, 2, 0, 2, 1, -1, -1, 2, 3, 2, -1, 1, 0, 1, -1, 1, 2, 3, 2, 2, 0, 2, 1, 1, 3, 2, 3, 3, 3, 1, 1, 0, -1, 1, -1, 3, 0, 2, 0, 1, -1, 1, 0, 0, 2, 1, 3, 1, 2, 3, 2, 0, 3, 2, 4281, 1049, 642
-1, 1, 3, 2, 3, 1, 0, 3, 1, 3, 0, 1, 2, 2, 0, 2, 0, 0, -1, 2, 2, 3, 2, 1, 1, 3, 0, 2, 0, 3, 0, -1, 0, -1, -1, -1, 1, -1, 3, 2, 2, 0, 0, 0, 3, 3, 0, 1, 0, -1, -1, 2, -1, 1, 2, 1, 2, -1, 0, 2, -1, 0, 2, -1, 2, 3, 1, 1, 1, 1, 4068, 1049, 642
0, 0, 0, 0, 0, 1, 2, 1, 1, 2, -1, 2, 3, 3, 3, 2, 2, 2, 2, 3, 0, -1, 1, 1, 2, 0, 2, 1, 1, 3, 2, -1, 3, 1, 3, 0, 2, -1, -1, 2, -1, 2, 0, 1, 1, 2, -1, 0, 0, -1, -1, 1, 3, 2, 1, -1, 3, 3, 1, 2, 1, 0, 0, 3, 1, 3, 0, 3, -1, 3, 4267, 1049, 642
-1, -1, 0, 3, 1, -1, 2, 2, 3, -1, 1, 1, 0, 1, 2, 3, -1, 3, 0, 2, 0, 1, 0, 3, 3, 1, 1, 3, 2, 1, 2, 3, -1, 2, 0, 1, 2, -1, 0, -1, -1, 0, 1, 2, 2, -1, 1, 3, 2, 1, 3, 2, -1, 2, 1, 0, -1, 2, 0, 0, 0, 0, 0, 1, 2, 0, 3, 2, 0, 1, 4106, 1049, 642
-1, 0, -1, 0, -1, -1, 2, 1, 2, 2, 1, 2, 1, -1, 2, 3, 1, 3, 0, -1, 0, 1, 3, 2, 2, 0, 1, 2, -1, 0, 3, 2, -1, -1, -1, 0, 1, 2, 3, 1, 0, 2, 3, 3, -1, 0, 2, 2, 0, 1, 3, -1, -1, 0, -1, 1, 2, 0, -1, 0, 1, 0, 2, 3, 0, 2, 3, 0, 1, 1, 4114, 1049, 642
2, 0, 0, 0, -1, -1, -1, 0, 3, 1, 3, 2, 2, 0, 0, 3, 1, 0, -1, 2, 0, 2, 3, 0, 2, 1, 2, 0, -1, 1, 1, 2, 3, 0, 1, 2, 1, 3, 2, 1, -1, 0, -1, 0, 1, 0, 2, 3, 2, 1, 0, 2, -1, -1, 2, -1, -1, 0, 1, -1, -1, 0, -1, -1, 1, 2, 3, 1, 1, 3, 4279, 1049, 642
0, 0, 1, 2, 1, -1, 2, 3, -1, 1, -1, 1, 2, 3, 3, 2, -1, 1, -1, 2, 3, 1, 2, 0, 3, 3, -1, 2, 1, 2, 1, -1, 3, 0, -1, 2, 0, 1, 1, 0, 0, -1, 0, 0, 3, 2, 2, 2, 0, 1, 2, 3, 3, 1, -1, 2, 1, 0, -1, 3, -1, 0, 1, 1, 0, -1, -1, 2, -1, 1, 3952, 1049, 642
