$x1,$x2,$x3,$x4,$x5,$x6,$x7,$x8,$x9,$x10,$x11,$x12,$x13,$x14,$x15,$x16,$x17,$x18,$x19,$x20,$x21,$x22,$x23,$x24,$x25,$x26,$x27,$x28,$x29,$x30,$x31,$x32,$x33,$x34,$x35,$x36,$x37,$x38,$x39,$x40,$x41,$x42,$x43,$x44,$x45,$x46,$x47,$x48,$x49,$x50,>>f1
4, -1, 2, 4, -1, 1, 3, 1, 3, 0, 2, 2, 1, 3, 3, 2, 4, 4, -1, 1, 3, 3, 2, 4, 0, 0, 3, 2, 1, 4, 2, 0, 2, -1, 4, 4, 1, 4, 0, 4, -1, 2, 3, 0, 2, 0, 2, 4, 3, 1, 3870
0, 1, 3, 3, 0, 4, 3, 3, 1, 2, 0, -1, 2, 2, 2, 0, 0, 1, -1, 3, 1, 0, -1, -1, 3, 4, 0, 2, 1, 1, -1, 0, -1, 4, -1, 2, 1, 1, 1, -1, 1, 4, 2, 2, 0, -1, 1, 2, 2, 3, 4078
2, 4, 0, 2, 4, 0, 2, 0, 1, 4, 1, 1, 1, 3, 0, -1, -1, 1, 0, 4, 4, 2, 2, 2, 4, -1, 0, 4, 0, 2, -1, 3, 0, 3, 0, 3, 3, 4, 1, 2, 1, 0, 4, 0, 3, 2, 3, 1, 3, 1, 4282
3, 3, 4, 0, 4, 2, 2, 1, 1, 0, 0, 0, 4, -1, 3, 3, 0, 2, 2, 1, 2, 4, 3, 1, 3, 4, -1, 4, -1, 3, 4, 0, -1, 3, 3, 2, 2, 4, 3, -1, 1, 2, -1, 1, 3, 4, 0, 2, 1, 0, 3816
0, -1, 3, 3, 1, 0, -1, 3, 2, -1, 2, 2, 2, 2, -1, 1, 2, 4, 3, 1, 2, 2, 0, 0, 4, 2, 4, 4, 0, 4, 0, 0, 1, -1, 2, 0, 3, -1, 3, 1, 1, 0, -1, 1, -1, 1, 2, 4, 3, 1, 3986
0, 3, 1, 2, 3, 2, 0, -1, 0, 1, -1, 1, 1, 0, 2, 0, 1, 4, 3, 2, 4, 0, 4, 1, 1, 2, 2, 1, 2, 3, 2, -1, 0, -1, 3, 1, 3, 3, 2, 4, 4, 0, 0, 0, 2, 3, 3, 4, 4, -1, 4205
1, 3, 2, 3, 2, 4, -1, 1, 0, 3, 2, 2, 0, 2, 1, -1, 1, 2, -1, 1, 2, 3, 0, 3, 2, 4, -1, 1, 0, 3, 3, 1, -1, -1, 1, 0, 1, 0, 2, 0, 0, 0, 1, 0, 3, 0, 1, 3, 0, 2, 4710
1, -1, 2, 4, 2, 1, -1, 3, 3, -1, 0, 3, 0, 3, -1, 0, 0, 2, 2, -1, 1, -1, 2, 1, 1, 0, 0, 2, 2, 0, 0, 0, 2, -1, 1, -1, 2, -1, 3, 1, 4, 0, 1, 1, 0, -1, 1, 2, 3, 1, 4068
0, 1, 3, 4, 0, 3, -1, 3, 2, 1, 0, 2, -1, -1, 0, 2, -1, 3, 3, 3, 2, 1, 3, 3, 1, 1, 4, 1, 2, -1, 0, 0, 2, 1, 2, 3, 3, 2, -1, 0, 0, 4, 1, 1, 1, 2, 1, 1, 3, 3, 4193
3, 2, 1, -1, 0, 2, 1, 0, 0, 0, 3, 3, 1, 3, 4, 4, 1, 0, 3, 1, 3, -1, 3, 2, 2, 4, 3, 3, 2, 0, 0, -1, 1, 1, 1, 3, 2, 1, 0, 0, 0, 1, 4, 0, 4, 0, 1, 3, 2, 2, 4665
2, 3, 4, 1, 0, 2, -1, 0, 0, 0, 2, -1, 3, 4, 0, 2, 1, 1, 3, 3, 1, 0, 4, 3, -1, 3, 4, 4, 3, 4, -1, 1, 2, 3, 0, 0, 3, 0, 1, 3, 2, 2, 3, 1, 2, 0, 1, 2, 0, 2, 4345
3, -1, 4, 0, 2, -1, 2, -1, 4, 3, 2, 0, 2, 0, 4, -1, 4, 1, 1, 4, 0, 1, 4, 3, 0, 3, 0, 2, 3, 1, 1, 3, 2, -1, 1, -1, 4, 0, 3, 3, 1, 2, 0, -1, 1, 1, 4, 2, 3, 3, 3910
0, 0, 1, 3, 1, 1, 3, 2, 2, 0, 0, -1, 3, 1, 2, 3, 2, 2, 3, 3, -1, 1, 1, -1, 1, 1, 0, 2, 2, 2, 2, 1, 1, 3, 4, 0, 3, 3, 0, 4, 0, 3, -1, 1, 1, 0, 4, 0, -1, 2, 4513
2, 2, 1, 0, 4, 1, 2, 4, 2, 3, 3, 1, 0, 0, 2, 4, -1, 2, 1, 0, 3, 0, 1, 3, 3, 3, 2, 3, 1, 1, 0, -1, 4, 3, 2, -1, 2, 0, 4, 0, 4, 2, 1, 1, 0, 3, 4, 4, 1, 3, 4415
2, 1, 1, 3, 2, 2, 1, 2, 3, -1, 1, 0, 4, -1, 2, 4, 1, 4, 0, 0, -1, 0, 4, 0, 0, 3, 0, 0, 2, 4, 3, 3, 2, -1, 1, 1, 4, 3, 0, 0, 1, 1, 3, 0, 3, 2, 2, 3, 1, -1, 4403
2, 4, 1, 0, -1, 3, 2, 4, 2, 1, 2, 2, 2, 4, 3, 0, 4, 2, 0, 0, 1, 0, -1, 1, -1, 4, 4, 1, 4, 1, 2, 1, -1, -1, 2, 2, 3, -1, 3, 0, 2, 0, 0, 0, 1, 1, 2, 3, 1, 1, 4125
2, 3, 1, 1, 1, -1, 3, 0, 0, -1, 3, 3, 0, 4, -1, 2, 0, 4, 0, 2, 1, -1, 2, 3, 2, 3, 2, 3, 0, 3, 4, 0, 2, 0, 1, -1, 2, 1, 2, 1, -1, 0, 0, 4, 2, 3, -1, -1, 1, 1, 4002
2, 0, 0, 2, 1, 0, 1, -1, 0, 2, 0, 2, -1, 3, 1, 1, 2, 0, 0, 2, 4, 0, 1, 3, 1, 4, 3, -1, 3, 1, 0, -1, 1, 2, 0, 4, -1, -1, 1, 2, -1, 1, 2, 3, 3, 2, 1, 0, 1, -1, 4366
3, 2, 0, 3, 1, 0, -1, 0, 3, 2, 4, -1, 0, 4, 0, 4, 4, 0, -1, 1, 1, 3, -1, 1, 1, 1, 0, 2, 3, 3, 3, 0, 2, 3, 3, 1, 1, 0, 1, 2, 2, 1, -1, -1, -1, 1, 2, 1, 3, 2, 4227
0, 1, 3, 4, 0, -1, 1, 2, 4, 4, 3, 2, 1, 1, 3, 1, 4, 3, 1, 2, 0, 1, 2, 3, -1, 2, 4, 1, 2, -1, 2, 0, 2, 2, 4, 2, 3, 3, 1, 0, 4, 3, 3, 0, 4, 3, 2, 3, 2, 1, 4007
2, 2, -1, 0, 0, 3, 3, 0, 4, 2, -1, 4, 3, -1, 3, -1, 0, 3, 0, -1, 1, 2, 0, 3, 3, 0, 2, 0, 1, 2, 1, 3, 3, 0, 1, 3, 0, 2, 2, 3, 2, 4, 4, 2, -1, 2, 2, 0, -1, 1, 4073
1, -1, 1, 0, 0, 3, 3, 2, 0, 3, 1, 1, 1, 3, 1, 3, 4, 1, 4, 2, 0, 1, 1, 3, -1, 4, 4, 0, 4, 1, 0, 1, -1, 0, 2, 0, 3, 2, 2, 3, 3, 1, 3, 0, 2, 4, 2, 4, 3, 2, 4347
1, 3, 2, 0, 1, 0, 0, 2, 2, 0, 0, 0, 2, 1, 2, 3, 0, 0, 1, 3, 2, 0, 2, 0, 1, 3, 2, 3, 4, 4, 3, 2, 4, 1, 2, 3, 3, 4, 2, 0, -1, 3, -1, 1, 3, 1, 3, 1, 3, 2, 4524
1, 0, 2, 3, 0, 2, 0, 1, 0, 3, 3, 1, 3, -1, 1, 1, 3, 3, 1, -1, 2, 2, 3, 0, 3, 1, 3, 3, 2, 1, 0, 0, 0, 4, 0, 1, 2, 1, 2, 3, 1, 4, 4, 3, 0, 2, 1, 2, 0, 2, 4621
4, 3, 0, 0, 3, 3, 0, 2, 1, -1, 2, 2, 2, 0, -1, 2, 0, 4, 2, 1, 3, 3, 0, -1, 2, -1, 1, 1, 0, 2, 3, 0, 4, 4, -1, 4, 4, 2, -1, 3, 1, 2, -1, 2, -1, 0, 1, 3, 4, 2, 3829
3, 1, 1, 1, -1, 2, 1, 3, 1, 3, -1, 3, 0, 0, 1, 2, -1, 0, 2, 3, 1, 1, 4, 0, 0, 2, 3, 0, 0, -1, 0, 3, -1, 2, 4, 2, 3, 4, 1, 0, 2, 2, 2, 2, 1, 1, 1, 0, 3, -1, 4321
0, 1, 2, 3, 3, 3, 2, 4, 1, 0, -1, 2, 4, 0, 1, 3, 4, 3, 1, 2, 4, -1, 1, 4, 4, 0, 2, 4, 2, 4, 1, 2, 1, 2, 2, 2, 3, 0, 3, 2, 3, 4, 1, 3, 1, -1, -1, 1, 0, 1, 4101
4, 3, 3, 1, 1, 2, 1, 4, 0, 3, 1, -1, 2, 4, 0, 3, 1, 1, 3, 3, 3, 0, 1, 2, 2, 0, 0, 1, 0, 2, 2, 4, 4, 2, 3, 0, 2, -1, 2, 2, 1, 0, 2, -1, 2, 3, 1, 1, 4, -1, 4327
-1, 2, 1, 3, 3, 4, 1, 2, 2, 0, -1, -1, 2, 1, 2, -1, -1, 0, 3, 3, 1, 1, 3, 2, 3, -1, -1, 2, 0, 1, 0, 0, 0, 3, 0, 4, 2, 1, 4, 2, 3, 0, 1, 0, 0, 1, 0, 2, 2, 1, 4285
1, 1, -1, 3, 0, 2, 2, -1, 0, 1, 0, 3, 2, 3, 0, 3, 1, 4, 2, 1, 1, 2, -1, -1, 1, 0, 2, 2, 2, -1, 4, 3, 3, 1, 3, 0, 3, 1, 3, 2, 2, 2, 0, 2, 3, 0, 4, -1, 4, 1, 4109
3, 2, 3, 0, 3, 2, -1, 2, 0, 3, 3, 1, 1, 1, 4, -1, 3, 1, -1, 1, 1, 2, 4, 1, 0, 2, -1, 2, -1, 1, 0, -1, 1, 1, -1, -1, 0, 1, 3, -1, 2, 3, 2, 2, 4, 3, 2, 3, 3, 2, 4001
3, 2, -1, -1, 3, 3, 1, 1, 4, 2, 4, 1, 0, 2, 1, 4, 2, 4, 2, -1, 2, 0, 2, 2, 2, 2, 2, 1, 4, 2, 4, 1, 3, 1, 3, -1, -1, 3, 4, 0, 3, 4, 3, -1, 0, 0, -1, 1, 1, 1, 3802
0, 1, 3, 4, 0, 3, 1, 2, 1, 4, 0, -1, 4, 3, -1, -1, 3, 2, 3, 0, 1, 1, 2, -1, 0, 4, 0, 2, 2, -1, 1, 3, 1, 2, 1, 0, 2, 0, 0, -1, 2, 3, 3, 3, 3, 3, 0, 0, -1, 1, 4268
3, -1, 0, 2, 4, 4, 0, 3, -1, 2, 3, 1, 3, 0, 3, 1, 2, 3, 2, 4, 2, 0, 4, 2, 3, -1, 2, 0, 3, 2, -1, 0, 0, 0, 1, 3, 4, -1, 1, 1, 4, -1, 0, -1, -1, 0, 0, 1, 2, 1, 3815
2, 0, 4, 3, 1, 3, 3, 1, 1, 4, 0, 0, 2, 3, 1, 2, 0, 2, 0, 3, 4, 2, 4, 1, 3, 4, 1, 1, 0, 0, 2, 0, 2, 4, -1, 0, 2, 2, -1, 3, 1, -1, 3, 3, 3, 3, 1, 3, 2, 0, 4389
1, 0, 1, 1, 0, 2, -1, 2, -1, 2, 1, 3, 3, 2, 1, 1, 1, 1, 0, 3, 3, 2, 3, 3, 2, 3, 1, 2, 4, 3, 2, 3, 0, -1, 0, 0, 3, -1, 1, 2, 3, 2, -1, -1, 2, 1, 1, 4, 0, -1, 4100
2, 4, 3, 2, 1, 0, -1, 4, 1, 3, 3, 4, -1, 2, -1, 3, 1, 2, 0, -1, 4, 3, 3, 2, 4, 3, 2, 1, 2, 1, -1, -1, 1, 3, 0, 3, 1, 3, 0, 4, 1, 1, -1, 3, 0, 1, 2, -1, 4, 1, 3737
3, 3, 4, 1, 1, 3, 1, 1, 2, -1, -1, 2, 3, 2, 4, 2, 0, 3, 1, 4, -1, 3, -1, 1, 3, 1, 4, 0, 2, 1, 2, -1, 0, 2, -1, 2, 3, 3, 4, -1, 2, 4, 0, 1, -1, 0, 2, 0, 3, 0, 3807
1, 2, 2, 3, 0, 4, 1, -1, -1, 0, 2, 2, 1, 2, 4, 3, 2, 1, 0, 4, 0, 0, -1, 2, 1, 3, 1, 0, 3, 2, -1, 3, -1, 1, 1, -1, 3, 0, 2, 0, 2, 1, 0, 1, 3, 0, 4, 2, 0, -1, 4264
1, 1, 1, -1, 3, 2, 1, 3, 2, 2, 0, 3, 1, 2, 0, -1, -1, 3, 1, 1, 3, -1, 1, 4, 4, 4, 0, 2, 2, -1, 4, -1, 2, 0, 3, 3, 4, 0, 2, 1, 1, 1, 2, 1, 0, 0, 2, 3, 3, 0, 4225
1, 1, 2, 2, 2, 1, -1, 4, 0, 4, 2, 2, 3, 2, 3, 1, -1, 0, -1, 1, 3, 2, 2, -1, 3, 1, -1, -1, 2, 2, 3, 3, 0, 3, 3, 0, 1, 4, 0, 3, 0, 3, 2, 0, -1, 0, 4, 4, 2, 0, 4100
-1, 2, 1, 2, 3, 0, 4, -1, 1, 2, 4, 2, 3, 2, 0, 4, 2, 3, 1, 1, 0, -1, 1, 0, 2, -1, 0, 3, 2, 4, 0, 0, 2, 2, 1, 1, 4, 1, -1, 3, 1, 3, 4, 0, 1, 2, -1, 0, 4, 0, 4265
3, 4, 4, 2, 3, 4, 0, -1, 1, 2, -1, 1, -1, 2, 1, 4, -1, 0, 0, 3, 1, 0, 2, 3, 1, 1, 0, 2, 2, 2, -1, 1, 4, 2, 2, 1, 1, 0, 4, 0, 0, 3, 3, 4, 4, 1, 2, -1, 2, 0, 4081
4, -1, 3, 1, -1, 3, 3, 1, 3, 3, 1, 1, 2, 1, 0, 4, 4, 2, 3, 4, -1, 2, 4, 0, 3, 0, 2, 2, 3, 4, 1, 2, 1, 1, 3, 3, -1, 1, -1, 4, 0, 3, 2, 4, -1, 1, 2, 2, 2, 1, 3770
0, 0, -1, 0, 1, 3, 0, 0, 0, 3, -1, 2, 1, 1, 4, 2, 1, 3, 0, -1, 1, 3, 2, 2, 0, 3, 1, 3, 0, 4, 3, 1, 2, 0, 3, 2, -1, 2, 1, 0, 4, 1, 1, 2, 2, -1, 4, 2, 3, 4, 4181
-1, 1, 3, 2, 2, 0, 0, 2, 3, 4, 0, 2, 3, 4, 0, 3, 3, 4, 1, 4, 3, 0, 3, 4, 0, 3, 1, 4, -1, 4, 2, 1, 0, 3, 2, 1, 1, 0, 2, 1, 1, 3, 2, 4, 2, 3, 1, 3, 2, 2, 4189
-1, 1, 2, -1, 3, -1, 4, 3, 4, 3, 0, 4, 1, 4, 4, -1, 2, 1, 2, 4, 1, 1, 4, 3, 1, 2, 3, 4, 3, -1, 1, 0, -1, 0, -1, -1, 1, 3, 1, 4, 4, 4, 2, 0, 1, -1, 2, 1, 0, 3, 3584
3, 2, 1, 0, 3, 0, -1, 0, 4, 3, -1, 1, 3, 1, 2, -1, 1, 2, -1, 4, 3, 4, 2, 1, 3, 2, 3, 2, -1, 3, 0, 1, 1, 4, 1, 1, 2, 0, 3, 3, 3, 4, 0, 0, 0, 2, -1, 0, -1, 1, 4151
-1, 0, 4, 2, 2, 1, 0, 1, 3, 1, 1, 4, 1, 1, 0, -1, 1, 1, 0, 3, 0, 2, 1, 0, 3, 2, 3, 2, 1, 3, 3, 2, 4, 3, 2, 3, 3, 2, -1, 0, 2, 4, 1, -1, -1, -1, -1, 3, 1, 3, 4109
4, 2, 0, 1, 2, 0, 3, 0, 0, 0, -1, 2, 1, 4, 3, 0, 3, 1, 0, 1, 0, 4, 2, 2, -1, -1, 3, 4, 2, -1, 0, 3, 4, 3, 1, -1, 0, -1, -1, 2, -1, 1, 4, 0, 1, 1, 1, 2, -1, 0, 3973
-1, 3, 1, 1, 1, 0, 1, -1, 1, 0, -1, 0, -1, -1, 2, 4, 0, 2, 1, 0, 0, 1, -1, 3, 4, 2, 4, 0, 0, 1, 2, -1, 3, 3, -1, 3, 3, 4, -1, 0, 2, -1, 2, 3, 0, 3, -1, -1, 2, 0, 3788
3, 0, 3, -1, 3, 4, 4, 4, 0, 0, 4, 0, 1, 1, 3, 4, 3, -1, 1, 3, 4, 2, 1, 3, 0, 2, 3, 1, 2, 2, -1, -1, 0, 0, 2, 3, 4, 0, 1, 1, 1, 1, 0, 3, 2, 0, 1, 4, 1, 4, 4362
2, 2, -1, 4, 0, 3, 2, 2, 0, 2, 4, 1, -1, 1, 0, 2, 0, 4, 3, 4, -1, 4, 4, 3, 3, 3, 3, 2, 3, 0, 3, 0, 3, 0, 2, -1, 2, 4, 4, 2, 3, 1, 0, -1, 3, 3, 1, 1, 1, 1, 3969
3, 4, 4, 0, -1, 3, 4, 4, 2, 0, 4, 1, -1, 2, 0, 1, 2, 1, 3, 2, 3, 2, 3, -1, 2, 3, 4, 1, 2, 3, 2, 0, 3, 1, 0, 1, 1, 1, 1, 3, 0, 4, 1, 2, 1, 3, 3, 3, 2, 4, 4150
4, 3, -1, -1, 0, 2, 0, 3, 1, 0, 3, 2, 4, 1, 1, 4, 4, 2, 0, -1, -1, 3, 2, 1, 4, 2, 0, 1, 0, 0, 2, 2, 3, 3, 1, 2, 1, 1, 4, 2, 2, 1, -1, 3, 0, -1, 0, 2, 2, 1, 4180
4, 3, 3, 0, 3, 3, 0, 0, -1, 2, 0, 1, 3, 2, 2, 2, 2, 3, 1, 2, 2, 3, 0, 4, 1, 2, 0, 1, -1, 1, 3, -1, 2, 3, 3, 2, 1, 3, 1, 1, 4, -1, 0, 4, 1, 2, 1, -1, 3, 1, 4123
1, 0, 0, 1, 3, -1, -1, -1, 2, 4, 2, 0, -1, 2, 2, 0, 0, -1, 2, 3, -1, 3, 1, 2, 3, 0, -1, 2, 1, 0, -1, 3, 3, 1, 1, 0, 4, 0, -1, 4, 1, 1, -1, -1, 0, 4, 0, 1, 4, -1, 3785
4, 0, 2, 3, 3, 4, 1, 0, 2, 2, 2, -1, 0, 2, 3, 3, 2, 2, 0, 3, 0, 3, 0, 4, 1, 1, 4, 0, -1, 1, 0, 4, 2, 3, 0, 2, 2, -1, -1, 1, -1, -1, 0, 1, 0, -1, -1, 1, 3, 2, 4030
2, 1, 2, 2, 0, 4, 1, 3, 2, 1, 0, 2, 2, 0, -1, -1, 3, 3, 1, 0, 0, -1, 3, 4, 4, 2, 2, 1, 3, 3, 2, 3, 3, 1, -1, 4, 4, 1, 1, 3, -1, 1, 2, 3, 4, -1, 1, 3, 3, 2, 3873
2, 3, 3, 3, -1, 2, 1, 1, 2, 3, 2, 2, 4, 3, 1, -1, 3, 0, 3, 2, 1, 3, -1, 1, -1, 0, 0, 1, 1, 3, 2, 2, 2, 4, 3, 4, 1, 2, 0, 3, -1, 0, 0, 4, 0, 1, 0, 0, -1, 4, 4156
4, 2, -1, 1, 0, 4, 1, 1, 0, 3, 1, 2, 1, 4, -1, 0, 1, 3, 4, 1, 3, 0, 0, 2, 3, 0, 0, 0, 2, 0, 0, 1, 4, -1, 3, 2, -1, 1, 2, 1, -1, 3, 3, 3, 2, 4, 2, 0, 1, 3, 4439
4, 2, 2, 2, 2, 1, 3, 3, 0, 4, 1, 3, 2, 3, 4, 1, 3, 2, 0, 4, 2, 2, 2, 0, 4, 2, 0, 0, 0, 1, 0, 1, 4, 1, 0, 0, 4, 2, 1, 1, 0, 4, 3, -1, 1, 3, 2, 3, -1, 1, 4459
3, 0, 1, -1, 2, 3, -1, -1, 0, 4, 4, 1, 3, 4, 3, 1, 3, 3, 4, 1, 4, -1, 2, 1, 2, 1, -1, 1, 1, 2, 3, 1, 0, 0, 0, 4, 1, 4, 0, 4, 2, 2, 1, 0, 0, 0, 3, 2, 3, 3, 4272
1, 3, 1, 3, 2, 0, 2, 0, 0, 4, 3, 2, 1, 3, 0, 1, -1, 4, 0, 4, 4, 3, 4, 1, 1, 3, 2, -1, 2, 2, 4, 3, 0, -1, -1, 1, 2, 3, 1, 3, 3, -1, 4, 2, 4, 3, 0, 1, 0, -1, 3896
-1, -1, 3, 1, 4, 3, -1, 4, 0, 2, 3, -1, 3, 1, 1, 4, 1, 1, 0, 1, -1, 1, 1, 0, 2, 1, 0, 3, -1, 2, 3, 2, 3, 0, 2, 2, 2, 0, 4, 4, 2, 0, 3, 2, 1, 1, 3, -1, 3, 0, 4174
-1, 1, 1, 0, 4, 0, 1, 2, 1, -1, 0, 3, 1, 0, 2, 4, 2, 3, 3, -1, 4, 1, 4, 1, 0, 0, 3, 0, 2, 1, 4, 3, -1, 2, 4, 3, 2, 1, 0, 0, 0, 3, 1, 4, 3, 0, 2, 2, 2, 1, 4434
0, 3, 3, 2, 2, 1, 0, 3, 0, 2, 0, -1, 3, 1, 3, 1, 3, 0, 2, 1, 2, 1, -1, -1, 2, 1, 1, -1, 1, 1, 2, 3, 0, 4, 4, 0, 1, -1, 3, 2, -1, 2, 0, 0, 2, -1, 0, 3, 2, -1, 4048
2, 2, -1, 3, -1, 3, 4, 0, 3, 0, 3, 4, -1, 2, 0, 2, -1, 1, 2, 3, 0, 1, 1, 0, 0, 4, 0, 2, 3, 1, 1, 4, 4, 4, 0, 2, -1, 3, 0, 0, -1, 4, 3, 3, 4, 2, -1, 2, 2, 3, 3956
0, 4, 3, 3, 2, 0, 1, 3, 4, 3, 0, 1, 0, 0, 1, 4, 0, -1, 4, 1, 0, 3, 4, 3, 4, 4, -1, 1, 2, 3, 3, 1, 4, 0, 4, 2, 3, 2, 1, 1, 2, 2, 0, 2, 0, 0, 3, 2, 3, 1, 4335
2, 1, 3, 4, 4, 3, 3, 2, 3, 0, 1, 1, 2, -1, 0, 3, 3, -1, 2, -1, -1, 4, 2, 1, 0, 1, 1, -1, 0, 3, 3, 1, 2, 1, 0, 0, 2, 2, 3, 3, 2, 0, 1, 1, 3, 4, 1, 3, 0, 2, 4142
4, 4, 1, -1, 4, 1, 2, 2, 1, 3, 2, 2, 0, 0, 4, 1, 1, 2, 2, 0, 4, 4, 3, 1, 3, 1, 1, 3, 4, -1, 2, 3, 2, -1, 4, 3, 1, 3, 1, 3, 0, 0, 3, 1, 0, 1, 2, -1, 2, 2, 4218
0, 3, 1, 2, 4, 3, 3, 3, 2, 1, 4, 2, 3, 1, 2, 3, 1, 0, 4, 4, 2, 4, 0, 0, 0, 1, 1, 0, 4, 0, 2, 0, 3, 1, 2, 3, 3, 4, 1, 2, 1, 0, 3, 1, 2, 1, 1, 0, -1, 0, 4662
1, 0, -1, 3, 1, -1, 0, 2, 4, 2, 2, -1, 2, 1, 0, 3, 1, 2, 2, 1, 1, 0, 3, 3, 3, 1, 3, 0, 1, 0, 3, 4, 2, 2, 0, 3, 3, 3, 1, 1, 4, 2, 1, 2, 0, 0, 3, 0, 0, 0, 4685
2, 1, -1, 3, 4, 0, 0, 0, 4, 3, 4, 3, 1, 4, -1, 0, 2, 2, 2, 2, 1, 3, 3, -1, -1, 3, 0, 0, 2, 1, 2, 0, 4, 0, -1, -1, 0, 3, 2, 1, 4, 1, 4, 1, -1, -1, -1, 1, 1, 2, 3807
1, 0, 2, 3, 3, -1, -1, 0, 4, 3, 2, 4, 4, -1, 2, 3, 2, 2, 0, 4, 3, 2, 2, 1, 2, 4, -1, 0, 0, 3, 1, 0, 0, 2, 3, 4, 1, 3, 3, 1, 4, 0, 2, 3, 0, 2, 2, -1, 4, 3, 3921
0, 3, 3, 3, 0, 4, 2, 0, 2, 1, 0, 1, 2, 2, 4, 0, -1, 0, -1, 1, -1, 4, 2, 3, 3, 0, 2, 0, 4, 0, 3, 1, 3, 3, 2, 4, 3, 0, 4, 2, 1, 2, 2, 3, 1, -1, 0, 2, 3, -1, 4210
