$<obj,$AccessLog,$Handle,$InMemory,$FollowSymLinks,$Base,$KeepAlive,$HostnameLookups,$EnableSendfile,$ExtendedStatus
605.557794927,0,1,0,1,1,0,1,0,1
568.197558811,1,1,0,1,1,0,1,0,1
718.380790615,0,1,0,0,1,1,1,0,0
830.832642632,0,0,0,0,1,0,0,1,0
643.289174713,0,1,0,0,1,1,1,0,1
831.946073643,0,1,0,1,1,1,1,0,0
737.988767848,0,1,0,1,1,1,1,0,1
756.483314071,1,1,0,0,1,1,1,0,0
681.391698169,1,1,0,1,1,1,1,0,0
719.123077955,1,1,0,0,1,1,1,0,1
945.882500341,1,1,0,1,1,1,1,0,1
624.05234115,0,1,0,0,1,0,1,1,0
605.557794927,0,1,0,0,1,0,1,1,1
586.692105034,1,1,0,0,1,0,1,1,0
1397.17448309,0,0,0,0,1,1,0,1,0
549.331868918,1,1,0,0,1,0,1,1,1
737.617624178,0,1,0,0,1,1,1,1,0
681.391698169,1,1,0,0,1,1,1,1,0
737.988767848,0,1,0,0,1,1,1,1,1
927.016810448,1,1,0,0,1,1,1,1,1
662.154864606,0,1,0,1,1,0,1,1,0
624.79462849,0,1,0,1,1,0,1,1,1
662.526008276,0,1,0,1,1,1,1,1,0
757.225601411,0,1,0,1,1,1,1,1,1
587.063248704,1,1,0,1,1,0,1,1,0
774.606716623,0,0,0,0,1,0,0,1,1
738.359911518,1,1,0,1,1,1,1,1,0
549.703012588,1,1,0,1,1,0,1,1,1
550.074156259,1,1,0,1,1,1,1,1,1
1283.60920006,0,0,0,0,1,1,0,0,0
1340.94855708,0,0,0,0,1,1,0,1,1
850.069476195,0,0,0,1,1,0,0,1,0
737.246480508,0,0,0,1,1,0,0,1,1
1491.87407623,0,0,0,1,1,1,0,1,0
1379.05108054,0,0,0,1,1,1,0,1,1
736.875336837,1,0,0,0,1,0,0,1,0
1246.62010762,1,0,0,0,1,1,0,1,0
756.112170401,1,0,0,1,1,0,0,1,0
1284.72263107,1,0,0,1,1,1,0,1,0
680.649410829,1,0,0,0,1,0,0,1,1
698.772813381,0,0,0,0,1,0,0,0,1
699.886244392,1,0,0,1,1,0,0,1,1
1152.66280182,1,0,0,0,1,1,0,1,1
1190.76532528,1,0,0,1,1,1,0,1,1
623.310053809,0,0,0,0,1,0,1,0,0
1227.38327406,0,0,0,0,1,1,1,0,0
567.0841278,0,0,0,0,1,0,1,0,1
1152.29165815,0,0,0,0,1,1,1,0,1
567.0841278,1,0,0,0,1,0,1,0,0
529.723891685,1,0,0,0,1,0,1,0,1
1076.82889858,1,0,0,0,1,1,1,0,0
1208.51758416,0,0,0,0,1,1,0,0,1
1020.60297257,1,0,0,0,1,1,1,0,1
661.412577265,0,0,0,0,1,0,1,1,0
1340.94855708,0,0,0,0,1,1,1,1,0
586.320961364,1,0,0,0,1,0,1,1,0
1190.39418161,1,0,0,0,1,1,1,1,0
605.186651257,0,0,0,0,1,0,1,1,1
567.826415141,1,0,0,0,1,0,1,1,1
1265.85694118,0,0,0,0,1,1,1,1,1
1115.30256571,1,0,0,0,1,1,1,1,1
604.815507586,0,0,0,1,1,0,1,0,0
679.907123488,1,0,0,0,1,0,0,0,0
1227.75441773,0,0,0,1,1,1,1,0,0
586.320961364,0,0,0,1,1,0,1,0,1
1190.39418161,0,0,0,1,1,1,1,0,1
680.649410829,0,0,0,1,1,0,1,1,0
624.42348482,0,0,0,1,1,0,1,1,1
1397.91677043,0,0,0,1,1,1,1,1,0
1303.95946464,0,0,0,1,1,1,1,1,1
567.455271471,1,0,0,1,1,0,1,0,0
1114.93142204,1,0,0,1,1,1,1,0,0
605.557794927,1,0,0,1,1,0,1,1,0
642.546887372,1,0,0,0,1,0,0,0,1
1209.63101517,1,0,0,1,1,1,1,1,0
530.095035355,1,0,0,1,1,0,1,0,1
568.197558811,1,0,0,1,1,0,1,1,1
1058.70549603,1,0,0,1,1,1,1,0,1
1134.53939927,1,0,0,1,1,1,1,1,1
887.429712311,0,0,1,0,1,0,0,0,0
1566.96569213,0,0,1,0,1,1,0,0,0
812.338096409,0,0,1,0,1,0,0,0,1
1416.41131666,0,0,1,0,1,1,0,0,1
793.472406516,1,0,1,0,1,0,0,0,0
1114.1891347,1,0,0,0,1,1,0,0,0
718.380790615,1,0,1,0,1,0,0,0,1
1340.94855708,1,0,1,0,1,1,0,0,0
1246.99125129,1,0,1,0,1,1,0,0,1
887.800855981,0,0,1,1,1,0,0,0,0
1510.73976612,0,0,1,1,1,1,0,0,0
831.574929973,1,0,1,1,1,0,0,0,0
1379.05108054,1,0,1,1,1,1,0,0,0
869.306309759,0,0,1,1,1,0,0,0,1
775.349003964,1,0,1,1,1,0,0,0,1
1529.97659968,0,0,1,1,1,1,0,0,1
1057.96320869,1,0,0,0,1,1,0,0,1
1322.82515453,1,0,1,1,1,1,0,0,1
699.143957051,0,0,1,0,1,0,1,0,0
1435.27700655,0,0,1,0,1,1,1,0,0
642.918031043,0,0,1,0,1,0,1,0,1
1360.18539065,0,0,1,0,1,1,1,0,1
718.380790615,0,0,1,1,1,0,1,0,0
662.154864606,0,0,1,1,1,0,1,0,1
1435.64815022,0,0,1,1,1,1,1,0,0
1379.42222421,0,0,1,1,1,1,1,0,1
642.918031043,1,0,1,0,1,0,1,0,0
755.36988306,0,0,0,1,1,0,0,0,0
1246.99125129,1,0,1,0,1,1,1,0,0
643.289174713,1,0,1,1,1,0,1,0,0
1303.95946464,1,0,1,1,1,1,1,0,0
586.692105034,1,0,1,0,1,0,1,0,1
605.928938597,1,0,1,1,1,0,1,0,1
1171.89963539,1,0,1,0,1,1,1,0,1
1210.00215884,1,0,1,1,1,1,1,0,1
887.800855981,0,0,1,0,1,0,0,1,0
1548.47114591,0,0,1,0,1,1,0,1,0
831.574929973,0,0,1,0,1,0,0,1,1
