$<obj,$no_mixed_refs,$rc_lookahead_40,$no_cabac,$no_8x8dct,$no_asm,$rc_lookahead,$ref_1,$no_fast_pskip,$no_weightb,$rc_lookahead_20,$ref_5,$no_mbtree,$ref_9,$no_deblock,$ref,$rc_lookahead_60
155.830164393,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0
155.649708934,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0
156.482756485,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0
157.204578319,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1
256.002992001,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0
353.207699056,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0
159.920907849,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0
179.997899094,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0
160.309258822,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0
160.246574295,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0
161.113813406,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0
161.774850243,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1
295.585421907,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0
424.39642761,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0
176.966247394,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0
176.979544112,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0
176.648179073,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0
176.615887044,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0
176.606389388,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1
298.672160011,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0
413.726761194,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0
156.077103441,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0
156.818973497,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0
157.65666673,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
219.767535963,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0
293.214807044,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0
156.845566933,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0
157.584484546,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1
155.743838871,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0
254.770196291,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0
350.664226858,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0
255.510166815,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0
351.457384255,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0
256.06672944,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
351.729017209,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
155.620369348,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0
155.283305715,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0
156.386933308,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0
152.397505331,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0
445.066712899,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1
397.141748514,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1
450.517520652,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1
397.296457157,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1
450.795698819,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1
393.381523476,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1
393.824960852,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1
446.403982822,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1
446.760041766,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1
323.614697126,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1
142.733743799,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0
375.694989026,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1
321.072071549,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1
372.151310538,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1
324.094225593,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1
320.934252396,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1
375.644548306,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1
371.812141084,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1
324.115120436,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1
376.062445157,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1
324.182450646,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1
146.182239439,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0
375.823950853,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1
321.336952998,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1
321.106056819,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1
372.507369482,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1
372.170099559,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1
347.20138159,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0
351.701370861,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0
347.276309924,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0
293.866346225,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0
143.074606493,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0
294.127428612,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0
293.280237723,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0
293.518525735,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0
413.77045041,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0
409.273207289,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0
334.02897975,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0
331.913748679,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0
414.47032449,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0
334.316655572,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0
409.543787331,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0
146.447120888,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0
332.267908092,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0
337.528969021,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0
334.391790197,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0
337.655184697,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0
334.590188056,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0
394.846268277,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0
395.018072699,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0
391.262699635,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0
391.647251545,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0
287.08016808,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0
167.040144273,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0
284.539442034,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0
323.679281185,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0
321.005587959,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0
287.225379067,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0
324.170206839,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0
284.775830516,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0
321.317957686,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0
425.182833502,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0
419.779514027,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0
425.394528079,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0
167.096077296,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0
420.131773909,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0
363.234271036,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0
363.628320602,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0
361.743985711,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0
362.025962939,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0
409.05856027,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0
405.418005694,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0
354.865783451,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0
352.030630078,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0
409.560883112,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0
161.148645295,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0
355.252234892,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0
405.743672139,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0
352.306908713,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0
469.178720868,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0
463.473375942,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0
469.209959987,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0
463.747755047,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0
448.461381339,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0
448.792746377,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0
444.592883026,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0
161.250167066,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0
444.928047126,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0
386.622145058,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0
383.684417004,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0
375.791865115,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0
372.168406319,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0
386.938313847,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0
376.096636717,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0
384.108859068,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0
372.463680265,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0
353.967511512,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0
170.076441656,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0
349.221429812,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0
354.093727188,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0
349.364741267,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0
293.743723321,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0
294.078887422,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0
293.123423258,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0
293.361711271,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0
417.179055896,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0
411.456615189,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0
334.269167293,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0
163.72145708,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0
331.939289204,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0
417.525617183,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0
334.718303263,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0
411.837368038,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0
332.196572528,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0
427.49540952,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0
421.590613825,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0
427.564639261,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0
421.701633251,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0
471.595771099,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0
170.155169053,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0
472.156979406,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0
465.440237293,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0
465.60254406,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0
363.183830315,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0
361.458003128,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0
386.643886521,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0
383.425027857,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0
363.482903324,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0
386.961954841,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0
361.739980357,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0
163.809682132,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0
383.819077424,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0
339.330571163,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0
335.969247664,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0
339.50997371,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0
336.342402388,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0
286.851171432,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0
286.965989921,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0
284.31614398,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0
284.499345589,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0
411.033019745,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0
148.588098774,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0
406.666844273,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0
354.387948223,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0
351.459717824,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0
411.130742454,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0
354.79909357,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0
406.958319158,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0
351.593531624,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0
397.052470551,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0
393.520189249,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0
397.197681538,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0
148.623136954,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0
393.661601174,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0
450.570707525,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0
450.943862248,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0
446.320403452,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0
446.680261458,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0
323.985952318,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0
320.922855209,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0
375.559069405,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0
371.924213422,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0
324.231838456,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0
152.722325156,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0
375.873338663,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0
321.151645566,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0
372.141606592,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0
152.778258179,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0
167.470284931,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0
170.478089347,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0
167.531916548,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0
151.549467822,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0
170.513127527,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0
143.106898522,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0
143.506646682,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0
161.597781265,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0
161.710700222,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0
146.542097445,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0
164.183889767,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0
146.860165765,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0
164.304406849,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0
161.325507982,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0
156.181577654,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0
152.447099431,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0
156.389473168,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0
156.960385421,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0
152.637052546,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0
155.323836199,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0
152.909532119,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0
161.500264847,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0
156.661106121,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0
161.596088024,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0
156.711340551,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0
156.950887766,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0
161.561049844,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0
161.778443014,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0
157.287104778,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0
160.365191845,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0
161.905711601,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0
157.310745771,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0
162.043324462,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0
152.686440355,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0
152.841148998,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0
153.046298361,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0
153.332074652,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0
156.598421594,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0
157.096945372,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0
156.819613826,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0
155.518434995,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0
157.173773238,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0
149.084929313,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0
153.132830173,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0
153.196361321,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0
143.473714324,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0
146.971597773,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0
143.854467172,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0
147.23268016,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0
149.362260859,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0
149.518869033,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0
143.936147011,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0
144.212425646,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0
153.431903183,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0
147.375144995,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0
153.541023077,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0
147.670418942,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0
149.274882427,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0
149.48087841,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0
153.458496618,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0
153.522027766,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0
149.735415583,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0
153.786062594,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0
149.937612504,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0
153.89518249,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0
143.860165765,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0
144.170635961,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0
144.387182511,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0
144.621671462,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0
147.354250153,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0
147.826180496,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0
147.638126913,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
148.129052567,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
176.916859584,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0
180.064382684,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0
180.260881012,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0
171.398721621,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0
174.292554168,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0
171.792771187,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0
160.545647304,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0
174.661909829,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0
177.070721606,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0
177.271018996,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0
171.8972454,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0
172.266601061,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0
180.540112089,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0
174.775881698,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0
180.70811745,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0
175.04646174,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0
166.589108773,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0
166.664037108,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0
169.606410844,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0
169.738325113,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0
167.05154146,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0
170.028953378,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0
167.078981516,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0
170.244447016,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0
160.728002293,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0
160.901706247,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0
161.137248108,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0
160.697609795,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0
161.271061908,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0
163.291316422,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0
163.799337857,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0
163.432728347,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0
163.811581664,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0
177.104913167,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0
177.265320403,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0
180.494523342,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0
180.670126827,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0
171.937135554,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0
156.22611349,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0
174.686603734,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0
172.184921222,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0
175.082552831,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0
167.110426926,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0
167.010598395,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0
161.093558893,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0
161.310952062,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0
170.08403978,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0
163.713858955,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0
170.229250767,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0
160.759241412,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0
163.870467129,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0
177.495163671,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0
177.67836528,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0
180.956956029,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0
